ano;produto;num_pedidos_proagro;valor_total;valor_medio_proagro;rank_valor;rank_pedidos;rank_valor_medio
2013;milho;173309;269125887.990;1552.8673524744819946;1;1;16
2013;trigo;33561;199561956.860;5946.2458466672625965;2;4;3
2013;soja;117458;196530639.730;1673.1992689301707845;3;2;14
2013;café;55310;25000912.950;452.0143364671849575;4;3;57
2013;feijão;12127;20172009.850;1663.3965407767790880;5;6;15
2013;mandioca (aipim, macaxeira);18008;17532771.480;973.6101443802754331;6;5;24
2013;cebola;5090;10884551.030;2138.4186699410609037;7;8;13
2013;maçã;1282;10485635.710;8179.1230187207488300;8;18;1
2013;arroz;8062;5810350.630;720.7083391218060035;9;7;34
2013;uva;4643;5721548.260;1232.2955545983200517;10;10;17
2013;tomate;4836;4352753.270;900.0730500413564930;11;9;25
2013;pêssego;935;3364920.330;3598.8452727272727273;12;20;9
2013;ameixa;406;2120017.130;5221.7170689655172414;14;39;5
2013;canola;423;1625066.060;3841.7637352245862884;17;38;8
2013;nectarina;110;635358.170;5775.9833636363636364;23;62;4
2013;amendoim;100;403276.480;4032.7648000000000000;29;65;7
2013;girassol;20;104407.740;5220.3870000000000000;50;85;6
2013;pera;29;95952.070;3308.6920689655172414;51;77;10
2013;algodão;7;53597.790;7656.8271428571428571;59;92;2
2014;trigo;41548;643385628.730;15485.357387359199;1;4;2
2014;milho;156383;214728635.360;1373.0944882755798265;2;1;24
2014;soja;122478;135786057.540;1108.6567182677705384;3;2;31
2014;feijão;10441;32195281.120;3083.5438291351403122;4;6;15
2014;mandioca (aipim, macaxeira);18474;23448047.540;1269.2458341452852658;5;5;26
2014;café;48850;22663545.150;463.9415588536335722;6;3;53
2014;cebola;5136;15573870.110;3032.2955821651090343;7;8;16
2014;maçã;1184;9895876.560;8358.0038513513513514;8;19;6
2014;cevada;775;8860498.240;11432.900954838710;9;25;5
2014;canola;480;6180130.870;12875.272645833333;10;36;4
2014;arroz;7637;5609105.220;734.4644781982453843;11;7;37
2014;uva;4346;5132816.790;1181.0439001380579844;12;10;29
2014;tomate;4786;4048363.800;845.8762641036356038;14;9;33
2014;ameixa;457;2399791.720;5251.1853829321663020;15;40;9
2014;nectarina;116;578481.130;4986.9062931034482759;26;59;10
2014;amendoim;91;478367.730;5256.7882417582417582;28;61;8
2014;pera;35;240347.440;6867.0697142857142857;40;74;7
2014;girassol;12;158003.370;13166.947500000000;46;87;3
2014;algodão;2;135961.020;67980.510000000000;50;96;1
2015;trigo;36648;513666934.760;14016.233757913119;1;4;3
2015;milho;136254;383447403.330;2814.2102494605662953;2;1;21
2015;soja;120493;273409202.400;2269.0878507465163951;3;2;29
2015;cebola;4994;67106794.030;13437.483786543853;4;8;4
2015;café;40716;50976817.570;1252.0094697416249140;5;3;40
2015;feijão;8872;32847162.900;3702.3402727682596934;6;6;17
2015;uva;3936;17842959.590;4533.2722535569105691;7;10;14
2015;maçã;1199;17697856.280;14760.513994995830;8;19;2
2015;arroz;5719;16891736.250;2953.6171096345514950;9;7;20
2015;cevada;1002;15998084.960;15966.152654690619;10;22;1
2015;mandioca (aipim, macaxeira);11746;12246547.540;1042.6142976332368466;11;5;45
2015;pêssego;1020;7816558.240;7663.2923921568627451;12;21;8
2015;tomate;4209;7349172.260;1746.0613589926348301;13;9;35
2015;ameixa;498;4656419.530;9350.2400200803212851;15;35;7
2015;nectarina;110;1149230.210;10447.547363636364;27;58;5
2015;pera;44;336351.790;7644.3588636363636364;40;72;9
2015;girassol;21;147174.150;7008.2928571428571429;51;84;10
2015;algodão;6;56523.000;9420.5000000000000000;64;94;6
2016;milho;129422;370888733.380;2865.7317409713958987;1;1;20
2016;soja;111536;197490251.580;1770.6413317673217616;2;2;36
2016;trigo;12956;59822698.580;4617.3740799629515282;3;4;9
2016;café;24523;44803464.200;1826.9976838070382906;4;3;35
2016;feijão;7767;36836382.110;4742.6782683146646067;5;5;8
2016;maçã;1201;14855312.140;12369.119184013322;6;12;1
2016;arroz;5221;9734654.940;1864.5192376939283662;7;7;34
2016;mandioca (aipim, macaxeira);6383;7626106.930;1194.7527698574338086;8;6;49
2016;tomate;2961;6940605.770;2344.0073522458628842;9;9;25
2016;cebola;1879;6516088.370;3467.8490526875997871;10;10;14
2016;uva;3171;5484992.030;1729.7357395143487859;11;8;37
2016;canola;406;4030397.840;9927.0882758620689655;12;29;3
2016;ameixa;419;2727364.100;6509.2221957040572792;14;28;5
2016;beterraba;388;2034211.280;5242.8125773195876289;20;30;6
2016;nectarina;70;596865.570;8526.6510000000000000;31;60;4
2016;amendoim;87;421166.260;4840.9914942528735632;36;54;7
2016;pera;34;141123.660;4150.6958823529411765;51;68;10
2016;algodão;3;36008.280;12002.7600000000000000;67;85;2
2017;trigo;27225;523022557.330;19211.113216896235;1;4;4
2017;milho;107523;383308436.130;3564.8971487960715382;2;2;26
2017;soja;110140;252328765.870;2290.9820761757762847;3;1;39
2017;cebola;4543;81058599.980;17842.526960158486;4;8;5
2017;feijão;8389;72422234.120;8632.9996566932888306;5;5;10
2017;café;30818;44146645.610;1432.4954769939645662;6;3;63
2017;cevada;1943;42410001.600;21827.072362326300;7;13;2
2017;maçã;1281;33184736.370;25905.336744730679;8;17;1
2017;canola;894;19132805.890;21401.348870246085;9;21;3
2017;aveia;2602;17260611.430;6633.5939392774788624;10;11;15
2017;mandioca (aipim, macaxeira);7389;15461758.240;2092.5373176343212884;11;6;41
2017;pêssego;1042;10348986.590;9931.8489347408829175;12;20;8
2017;arroz;4739;10027640.960;2115.9824773158894281;13;7;40
2017;uva;3389;9965091.140;2940.4222897609914429;14;9;34
2017;ameixa;552;9536231.240;17275.781231884058;15;30;6
2017;tomate;3271;9358395.370;2861.0196789972485478;16;10;35
2017;nectarina;112;1078805.770;9632.1943750000000000;29;55;9
2017;centeio;7;75516.580;10788.0828571428571429;71;90;7
2018;milho;99793;556331537.680;5574.8553273275680659;1;1;21
2018;soja;98036;515603157.580;5259.3247131665918642;2;2;23
2018;trigo;27435;377186940.140;13748.384914889739;3;4;9
2018;cebola;4227;75188893.970;17787.767676839366;4;7;4
2018;feijão;5485;60879085.280;11099.195128532361;5;6;11
2018;café;28798;34207399.500;1187.8394159316619210;6;3;73
2018;maçã;1199;26885987.740;22423.676180150125;7;14;2
2018;aveia;2501;18381018.430;7349.4675849660135946;8;11;16
2018;mandioca (aipim, macaxeira);5865;14257679.410;2430.9768815004262575;9;5;38
2018;cevada;765;13021336.470;17021.354862745098;10;22;5
2018;pêssego;862;13010748.090;15093.675278422274;11;18;7
2018;uva;2725;12839095.620;4711.5947229357798165;12;10;26
2018;ameixa;491;10152795.860;20677.791975560081;13;28;3
2018;arroz;3931;9918184.400;2523.0690409564996184;14;8;37
2018;tomate;2754;7729941.010;2806.8050145243282498;15;9;32
2018;pera;26;372728.870;14335.725769230769;42;77;8
2018;gergelim;14;224955.880;16068.277142857143;50;84;6
2018;linho;5;55624.330;11124.8660000000000000;74;91;10
2018;erva cidreira (melissa);1;45167.520;45167.520000000000;77;95;1
2019;soja;94892;1018626683.210;10734.589672575138;1;1;16
2019;milho;92544;519450444.520;5613.0105087309820194;2;2;31
2019;trigo;27844;431915409.790;15511.974205933056;3;3;10
