ref_bacen;nu_ordem;cnpj_if;dt_emissao;dt_vencimento;cd_inst_credito;cd_categ_emitente;cd_fonte_recurso;cnpj_agente_invest;cd_estado;cd_ref_bacen_investimento;cd_tipo_seguro;cd_empreendimento;cd_programa;cd_tipo_encarg_financ;cd_tipo_irrigacao;cd_tipo_agricultura;cd_fase_ciclo_producao;cd_tipo_cultivo;cd_tipo_intgr_consor;cd_tipo_grao_semente;vl_aliq_proagro;vl_juros;vl_prestacao_investimento;vl_prev_prod;vl_quantidade;vl_receita_bruta_esperada;vl_parc_credito;vl_rec_proprio;vl_perc_risco_stn;vl_perc_risco_fundo_const;vl_rec_proprio_srv;vl_area_financ;cd_subprograma;vl_produtiv_obtida;dt_fim_colheita;dt_fim_plantio;dt_inic_colheita;dt_inic_plantio;vl_juros_enc_finan_posfix;vl_perc_custo_efet_total;cd_contrato_stn;cd_cnpj_cadastrante;vl_area_informada;cd_ciclo_cultivar;cd_tipo_solo;pc_bonus_car
517365140;2;07237373;2024-01-29;2027-01-27;5;2222;0502;;PI;;9;13124760000002;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;4000.00;;0.00;100.00;;2.00;0056;;;;;;;;;;2.00;;;
517257321;1;07237373;2024-01-03;2027-01-03;5;2222;0502;;MA;;9;23271300078002;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;12000.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256416;1;07237373;2024-01-02;2027-01-02;5;2222;0502;;MG;;9;13105760989408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;6000.00;;0.00;100.00;;3.00;0056;;;;;;;;;;3.00;;;
517256416;2;07237373;2024-01-02;2027-01-02;5;2222;0502;;MG;;9;23907710108408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;2500.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256416;3;07237373;2024-01-02;2027-01-02;5;2222;0502;;MG;;9;23147715000408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;500.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256417;1;07237373;2024-01-02;2027-01-02;5;2222;0502;;MG;;9;13105760989408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;12000.00;;0.00;100.00;;6.00;0056;;;;;;;;;;6.00;;;
517256418;1;07237373;2024-01-02;2027-01-02;5;2222;0502;;MG;;9;13105760989408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;12000.00;;0.00;100.00;;6.00;0056;;;;;;;;;;6.00;;;
517256419;1;07237373;2024-01-02;2027-01-02;5;2222;0502;;MG;;9;23147715000408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;3000.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256419;2;07237373;2024-01-02;2027-01-02;5;2222;0502;;MG;;9;13105760989408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;6000.00;;0.00;100.00;;3.00;0056;;;;;;;;;;3.00;;;
517256420;1;07237373;2024-01-02;2027-01-02;5;2222;0502;;MG;;9;23147694000408;0001;9;00;0;00;00;0;0;;0.50;;;2.00;;10000.00;;0.00;100.00;;0.00;0056;;;;;;;;;;0.00;;;
517256420;2;07237373;2024-01-02;2027-01-02;5;2222;0502;;MG;;9;13105760989408;0001;9;00;0;00;00;0;0;;0.50;;;1.00;;2000.00;;0.00;100.00;;1.00;0056;;;;;;;;;;1.00;;;
