#REF_BACEN;NU_ORDEM;NU_INDICE;GT_GEOMETRIA
517254553;1;0;POLYGON ((-43.902034 -21.309695999999899 0,-43.90041 -21.308319 0,-43.898786999999899 -21.306943 0,-43.89898 -21.30575 0,-43.899172 -21.304557 0,-43.900615 -21.305241 0,-43.902057 -21.305924 0,-43.902152 -21.306318 0,-43.902247 -21.306712 0,-43.902342 -21.307106 0,-43.902437 -21.3075 0,-43.902034 -21.309695999999899 0))
517254555;1;0;POLYGON ((-49.406416 -15.845366 0,-49.406251 -15.846175 0,-49.406311 -15.846967 0,-49.406327 -15.847805 0,-49.405669 -15.847882 0,-49.404994 -15.847869 0,-49.404335 -15.847872 0,-49.403678 -15.847847 0,-49.403047 -15.847823 0,-49.40297 -15.845221 0,-49.406416 -15.845366 0))
517254557;1;0;POLYGON ((-62.420199 -10.651255 0,-62.420073 -10.65143 0,-62.41997 -10.65159 0,-62.419887 -10.651774 0,-62.419804 -10.652062 0,-62.41973 -10.652269 0,-62.419648 -10.652388 0,-62.419449 -10.652637 0,-62.41927 -10.652819 0,-62.419156 -10.652982 0,-62.419022 -10.653222 0,-62.418862 -10.653378 0,-62.418493 -10.653694 0,-62.41817 -10.653956 0,-62.417853 -10.654275 0,-62.416715 -10.653373 0,-62.415766 -10.652611 0,-62.415485 -10.652344 0,-62.415586 -10.65204 0,-62.4157 -10.651831 0,-62.415747 -10.651675 0,-62.415793 -10.651568 0,-62.415876 -10.651453 0,-62.416019 -10.651198 0,-62.416251 -10.650926 0,-62.416422 -10.650894 0,-62.41661 -10.650804 0,-62.416699 -10.650682 0,-62.416753 -10.650447 0,-62.416723 -10.650269 0,-62.416601 -10.650093 0,-62.416297 -10.649946 0,-62.416095 -10.649979 0,-62.415919 -10.65011 0,-62.415839 -10.650227 0,-62.415796 -10.650383 0,-62.415486 -10.650751 0,-62.415256 -10.651139 0,-62.415105 -10.651426 0,-62.415071 -10.651535 0,-62.414964 -10.651633 0,-62.414955 -10.651764 0,-62.414883 -10.651885 0,-62.414273 -10.651385 0,-62.413518 -10.650769 0,-62.413696 -10.650582 0,-62.413967 -10.650394 0,-62.414198 -10.650153 0,-62.414349 -10.649975 0,-62.414591 -10.649637 0,-62.414907 -10.649308 0,-62.415441 -10.648888 0,-62.415825 -10.648517 0,-62.416056 -10.648325 0,-62.416266 -10.648118 0,-62.416375 -10.648104 0,-62.417325 -10.648942 0,-62.418916 -10.650218 0,-62.419201 -10.650453 0,-62.419812 -10.65092 0,-62.420199 -10.651255 0))
517254558;1;0;POLYGON ((-47.621074 -23.734939 0,-47.620834 -23.73527 0,-47.620592 -23.735756 0,-47.619826 -23.736261 0,-47.618565 -23.737299 0,-47.618107 -23.736539 0,-47.619078 -23.735883 0,-47.618975 -23.735738 0,-47.618813 -23.735433 0,-47.618819 -23.735323 0,-47.618948 -23.734881999999899 0,-47.621517 -23.734656 0,-47.621074 -23.734939 0))
517254563;1;0;POLYGON ((-55.290694 -23.89695 0,-55.288356 -23.89928 0,-55.286018 -23.901611 0,-55.285032 -23.900872 0,-55.28454 -23.900503 0,-55.284047 -23.900134 0,-55.285116 -23.899145 0,-55.286185 -23.898156 0,-55.287254 -23.897167 0,-55.288323 -23.896178 0,-55.289508 -23.896564 0,-55.290694 -23.89695 0))
517254564;1;0;POLYGON ((-36.458228 -9.08855 0,-36.458088 -9.088049 0,-36.458134999999899 -9.087302 0,-36.458305 -9.086873 0,-36.460358 -9.087847 0,-36.460551 -9.088001 0,-36.460204 -9.088266 0,-36.459961 -9.088575 0,-36.45982 -9.08883 0,-36.459644 -9.089371 0,-36.459839 -9.090408 0,-36.459264 -9.089842 0,-36.458593 -9.089071 0,-36.458228 -9.08855 0))
517254568;1;0;POLYGON ((-42.110267 -11.252986 0,-42.108296 -11.253158 0,-42.10797 -11.252483 0,-42.107637 -11.252058 0,-42.107678 -11.251791 0,-42.10772 -11.251523 0,-42.107871 -11.251082 0,-42.108022 -11.250641 0,-42.108529 -11.250789 0,-42.109036 -11.250938 0,-42.11037 -11.250975 0,-42.110267 -11.252986 0))
517254568;2;0;POLYGON ((-42.110267 -11.252986 0,-42.108296 -11.253158 0,-42.10797 -11.252483 0,-42.107637 -11.252058 0,-42.107678 -11.251791 0,-42.10772 -11.251523 0,-42.107871 -11.251082 0,-42.108022 -11.250641 0,-42.108529 -11.250789 0,-42.109036 -11.250938 0,-42.11037 -11.250975 0,-42.110267 -11.252986 0))
517254570;1;0;POLYGON ((-50.082767 -15.335757 0,-50.08392 -15.339846 0,-50.082349 -15.339943 0,-50.082157 -15.340231 0,-50.081835 -15.340382 0,-50.081611 -15.340109 0,-50.081518 -15.339881 0,-50.08134 -15.339756 0,-50.080969 -15.339759 0,-50.08089 -15.339414 0,-50.080771 -15.339335 0,-50.080738 -15.33908 0,-50.080461 -15.339047 0,-50.080257 -15.33885 0,-50.080127 -15.338278 0,-50.079809 -15.338278 0,-50.07938 -15.338172 0,-50.078913 -15.337195 0,-50.07964 -15.336971 0,-50.080047 -15.336793 0,-50.080515 -15.336557 0,-50.080796 -15.336559 0,-50.081031 -15.336334 0,-50.081094 -15.336121 0,-50.081662 -15.33573 0,-50.081971 -15.335648 0,-50.082388 -15.335649 0,-50.082767 -15.335757 0))
517254572;1;0;POLYGON ((-49.957618 -19.52558 0,-49.953671 -19.528482 0,-49.949725 -19.531385 0,-49.946955 -19.530209 0,-49.94557 -19.52962 0,-49.944185 -19.529032 0,-49.946213 -19.527215 0,-49.948241 -19.525398 0,-49.950269 -19.523581 0,-49.952297 -19.521765 0,-49.954957 -19.523672 0,-49.957618 -19.52558 0))
517254573;1;0;POLYGON ((-43.626176 -20.986623 0,-43.624621 -20.985545 0,-43.624694 -20.985157 0,-43.624767 -20.98477 0,-43.625058 -20.98439 0,-43.625225 -20.984085 0,-43.625393 -20.983779 0,-43.625929 -20.984795 0,-43.626464 -20.985811 0,-43.626365 -20.985913 0,-43.626267 -20.986015 0,-43.626176 -20.986623 0))
