ano;produto;num_operacoes;valor_total;valor_operacao;rank_valor;rank_operacoes;rank_valor_operacao
2013;soja;175076;15785065346.82;90161.217681578286;1;2;25
2013;milho;198521;7532522363.71;37943.201795830164;2;1;48
2013;café;107322;4726700902.76;44042.236473043738;3;4;41
2013;cana-de-açucar;17112;3718873851.02;217325.493865123890;4;7;3
2013;arroz;15261;1767360735.16;115808.972882510976;5;8;15
2013;algodão;1019;1717666092.90;1685638.952796859666;6;30;1
2013;trigo;40166;1713561854.12;42661.999056913808;7;5;43
2013;laranja;5318;917856561.96;172594.314020308387;8;13;6
2013;madeira;1305;534431616.43;409526.142858237548;9;23;2
2013;fumo;144046;532058230.70;3693.6689022951001763;10;3;131
2013;feijão;13998;528500598.34;37755.436372338906;11;9;49
2013;mandioca (aipim, macaxeira);20195;381557617.69;18893.667625154741;12;6;79
2013;batata-inglesa;1988;346889025.21;174491.461373239437;13;19;5
2013;uva;7184;271196234.47;37750.032637806236;14;10;50
2013;outras lavouras;1250;179932886.97;143946.309576000000;17;25;8
2013;amendoim;279;56729837.24;203332.749964157706;26;57;4
2013;cogumelo;127;17266958.98;135960.306929133858;42;69;10
2013;girassol;38;5707047.54;150185.461578947368;66;91;7
2013;noz;3;431287.61;143762.536666666667;106;109;9
2014;soja;186944;20406011443.18;109155.744197085758;1;1;17
2014;milho;181637;8140782915.52;44818.968137108629;2;2;49
2014;café;96685;4682094996.83;48426.281189739877;3;4;43
2014;cana-de-açucar;16422;3908969538.46;238032.489249786871;4;7;4
2014;trigo;52852;2540469636.46;48067.615917278438;5;5;44
2014;algodão;1039;2085183413.90;2006913.776612127045;6;32;1
2014;arroz;15212;2085102829.39;137069.604877070734;7;8;11
2014;laranja;4653;949971515.33;204163.231319578766;8;13;7
2014;madeira;1514;892039185.77;589193.649782034346;9;23;2
2014;fumo;128631;511853304.56;3979.2375442933662958;10;3;136
2014;feijão;12365;491364845.48;39738.361947432268;11;9;55
2014;batata-inglesa;2122;462159016.15;217794.069816211122;12;17;5
2014;mandioca (aipim, macaxeira);19798;418306048.14;21128.702300232347;13;6;90
2014;uva;6942;286064530.56;41207.797545375972;15;10;52
2014;flores;499;81201577.13;162728.611482965932;24;49;8
2014;amendoim;349;75763738.93;217088.077163323782;25;55;6
2014;mamão;287;43296630.77;150859.340662020906;31;58;10
2014;girassol;38;11863567.74;312199.151052631579;53;87;3
2014;grama;63;10211238.86;162083.156507936508;55;79;9
2015;soja;185545;21545169568.70;116118.297818319006;1;1;21
2015;milho;156558;8104399760.93;51766.117099924629;2;2;47
2015;café;93471;5284016328.51;56531.077323554899;3;3;40
2015;cana-de-açucar;15174;3902918014.60;257210.888005799394;4;6;4
2015;arroz;13041;2096033955.02;160726.474581703857;5;7;12
2015;trigo;42530;1969891149.07;46317.685141547143;6;5;52
2015;algodão;661;1608573865.00;2433545.937972768533;7;40;1
2015;laranja;3867;719733462.37;186121.919412981640;8;13;9
2015;batata-inglesa;2092;559656449.91;267522.203589866157;9;18;3
2015;feijão;10771;465571233.54;43224.513372945873;10;9;57
2015;fumo;89344;402601864.98;4506.1992409115329513;11;4;134
2015;madeira;1485;297592924.21;200399.275562289562;12;22;8
2015;uva;6402;258438161.92;40368.347691346454;14;10;63
2015;mandioca (aipim, macaxeira);12503;236550943.54;18919.534794849236;16;8;102
2015;amendoim;368;83378208.65;226571.219157608696;24;52;6
2015;grama;70;14287689.32;204109.847428571429;53;77;7
2015;noz;22;5329078.10;242230.822727272727;68;92;5
2015;azevem;23;4176390.82;181582.209565217391;73;91;10
2015;florestamento e reflorestamento;1;500000.00;500000.000000000000;103;106;2
2016;soja;146320;15263559303.92;104316.288299070530;1;2;28
2016;milho;149309;8359831157.38;55990.135607230642;2;1;52
2016;café;59644;3838963949.00;64364.629283750251;3;4;44
2016;cana-de-açucar;10939;3730024274.98;340984.027331565957;4;6;4
2016;arroz;9458;1429956173.67;151190.121978219497;5;7;16
2016;algodão;447;1340846996.42;2999657.710111856823;6;39;1
2016;trigo;15935;985618202.22;61852.413066834013;7;5;45
2016;laranja;2474;572437412.51;231381.330844785772;8;13;8
2016;feijão;9167;422592664.02;46099.341553398058;9;8;61
2016;fumo;75013;418674203.46;5581.3552778851665711;10;3;132
2016;batata-inglesa;1595;417311519.23;261637.316131661442;11;17;6
2016;madeira;1055;370137504.08;350841.236094786730;12;20;3
2016;mandioca (aipim, macaxeira);6867;200252298.50;29161.540483471676;15;9;84
2016;uva;5113;163091767.43;31897.470649325249;16;10;77
2016;flores;321;76724919.82;239018.441806853583;22;50;7
2016;amendoim;223;62645466.04;280921.372376681614;25;55;5
2016;grama;48;11059971.00;230416.062500000000;54;74;9
2016;azevem;21;4187795.16;199418.817142857143;68;85;10
2016;florestamento e reflorestamento;4;1623360.00;405840.000000000000;84;98;2
2017;soja;169368;26032809734.30;153705.598072245052;1;1;23
2017;milho;128382;9046697574.93;70467.024777071552;2;2;49
2017;café;68096;5213463589.78;76560.496795406485;3;4;46
2017;cana-de-açucar;10007;3711600808.12;370900.450496652343;4;8;6
2017;arroz;10152;2127485096.73;209563.149796099291;5;7;20
2017;algodão;664;1633732248.46;2460440.133222891566;6;30;1
2017;trigo;30798;1514507146.21;49175.503156373791;7;5;68
2017;laranja;2708;859730465.60;317478.015361890694;8;15;10
2017;aquisição de insumos;3972;836836640.25;210683.947696374622;9;13;19
2017;feijão;10281;675338465.49;65688.013373212722;10;6;52
2017;batata-inglesa;1564;568480327.93;363478.470543478261;11;21;8
2017;fumo;77836;409011487.81;5254.7855466622128578;12;3;138
2017;uva;5571;264724421.50;47518.295009872554;15;10;70
2017;mandioca (aipim, macaxeira);7877;260622978.18;33086.578415640472;16;9;91
2017;amendoim;317;103499931.46;326498.206498422713;24;56;9
2017;melão;100;39369989.67;393699.896700000000;38;68;5
2017;grama;81;29806731.24;367984.336296296296;41;73;7
2017;girassol;22;9755049.05;443411.320454545455;60;92;4
2017;dendê;17;9238225.81;543425.047647058824;61;96;3
2017;milheto;1;1200000.00;1200000.000000000000;98;108;2
2018;soja;157374;28586552315.11;181647.237250816526;1;1;25
2018;milho;121681;10061136848.32;82684.534547875182;2;2;46
2018;café;61887;5358820184.41;86590.401609546431;3;4;44
2018;cana-de-açucar;9371;3161097927.24;337327.705393234447;4;6;10
2018;arroz;8686;1989005887.20;228989.855767902372;5;7;20
2018;algodão;779;1929981165.56;2477511.123953786906;6;29;1
2018;trigo;30502;1523856748.34;49959.240323257491;7;5;76
2018;laranja;2827;797612862.48;282141.090371418465;8;14;14
2018;batata-inglesa;1416;557198613.44;393501.845649717514;9;18;8
2018;fumo;88836;483595015.24;5443.6829127831059480;10;3;140
2018;feijão;6738;479073270.63;71100.218259127337;11;8;54
2018;mandioca (aipim, macaxeira);6369;285925199.41;44893.264156068457;13;9;79
2018;uva;4961;270544679.04;54534.303374319694;15;10;68
2018;amendoim;299;131374567.56;439379.824615384615;20;53;5
2018;mamão;148;52174129.13;352527.899527027027;30;59;9
2018;madeira;51;20334897.59;398723.482156862745;47;80;7
2018;dendê;26;15165795.75;583299.836538461538;55;88;3
2018;coco-da-baia;3;3210005.00;1070001.666666666667;78;104;2
2018;grão-de-bico;1;472096.43;472096.430000000000;112;106;4
2018;mangostão;1;414526.38;414526.380000000000;114;106;6
2019;soja;157241;30393033300.61;193289.493838184697;1;1;28
2019;milho;117190;10669576282.73;91045.108650311460;2;2;53
2019;café;57638;5826587901.08;101089.349059301155;3;3;47
2019;cana-de-açucar;8446;2992661381.92;354328.839914752546;4;6;13
2019;arroz;8156;1961150550.83;240454.947379843060;5;7;21
2019;algodão;734;1831360414.75;2495041.436989100817;6;27;2
2019;trigo;31608;1823302371.02;57684.838364338142;7;5;76
2019;laranja;2738;789050079.03;288184.835292184076;8;14;18
2019;feijão;7676;628322350.00;81855.439030745180;9;8;61
2019;batata-inglesa;1216;458508734.72;377063.104210526316;10;18;11
2019;alho;719;323128243.14;449413.411877607789;11;28;8
2019;fumo;46785;321528024.81;6872.4596518114780378;12;4;146
