ano;produto;num_operacoes;valor
2013;soja;175076;15785065346.82
2013;milho;198521;7532522363.71
2013;café;107322;4726700902.76
2013;cana-de-açucar;17112;3718873851.02
2013;arroz;15261;1767360735.16
2013;algodão;1019;1717666092.90
2013;trigo;40166;1713561854.12
2013;laranja;5318;917856561.96
2013;madeira;1305;534431616.43
2013;fumo;144046;532058230.70
2013;feijão;13998;528500598.34
2013;mandioca (aipim, macaxeira);20195;381557617.69
2013;batata-inglesa;1988;346889025.21
2013;uva;7184;271196234.47
2013;tomate;5976;235746360.18
2013;maçã;2117;200723667.90
2013;outras lavouras;1250;179932886.97
2013;cebola;6433;173200645.42
2013;banana;3799;140735721.27
2013;abacaxi;3401;103532835.33
2013;aveia;1821;99072664.80
2013;alho;1027;93491003.79
2013;cevada;1189;67884296.92
2013;flores;479;64455315.42
2013;manga;626;63193810.35
2013;amendoim;279;56729837.24
2013;sorgo;491;56031583.32
2013;seringueira;510;50213000.45
2013;mamão;382;49007613.69
2013;morango;2235;47796831.83
2013;cenoura;636;45231650.75
2013;melancia;1090;37768953.17
2013;pêssego;1208;29792155.19
2013;tangerina;1208;29311614.56
2013;limão;911;28827832.77
2013;alface;1512;27692086.35
2013;inhame;2090;23212516.55
2013;maracujá;1269;21610375.96
2013;pimentão;1526;21566563.06
2013;cacau;818;20962692.00
2013;caqui;358;18236527.11
2013;cogumelo;127;17266958.98
2013;canola;476;16155216.02
2013;beterraba;776;15947036.89
2013;coco;250;14992861.36
2013;mandioquinha (batata: baroa, salsa, aipo);644;14663484.14
2013;ameixa;532;13754733.93
2013;goiaba;416;13337021.90
2013;erva-mate;959;13330820.15
2013;abóbora-moranga;890;13148008.51
2013;cará;306;11489016.94
2013;pimenta-do-reino;322;10124095.79
2013;capim;122;9981748.44
2013;plantas ornamentais;148;9739404.17
2013;quiabo;823;9422713.71
2013;melão;135;7736778.32
2013;grama;59;7659652.75
2013;batata-doce;604;7649162.18
2013;repolho;665;6925365.90
2013;chuchu;457;6808690.59
2013;carnaúba;94;6679011.84
2013;abacate;99;6452142.43
2013;couve-flor;545;6077910.46
2013;caju;583;5990899.33
2013;brócolos (brócolis);447;5852745.62
2013;girassol;38;5707047.54
2013;crisântemo;56;5556878.94
2013;pepino;552;5436842.48
2013;alfafa;183;5005845.78
2013;figo;113;4314273.74
2013;hortaliças;246;3865077.64
2013;frutas diversas n. e.;72;3693157.56
2013;pupunha;74;3677137.46
2013;berinjela;189;3551101.74
2013;jiló;218;3103192.00
2013;acerola;108;2877960.03
2013;abobrinha;239;2430985.91
2013;pera;49;2400682.48
2013;açaí;181;2201932.80
2013;gengibre;240;2185801.10
2013;vagem;150;1978673.02
2013;urucum;107;1949062.40
2013;nectarina;124;1943515.52
2013;dendê;61;1761220.15
2013;pimenta;84;1542381.65
2013;cebolinha verde;125;1411851.20
2013;azevem;14;1327373.14
2013;painço;80;1115997.86
2013;guaraná;99;1107726.98
2013;quiuí (kiwi);32;1089109.58
2013;rúcula;39;1045369.10
2013;palmeira;43;1000409.77
2013;couve;95;895276.50
2013;triticale;21;868253.96
2013;pinha (ata, fruta-do-conde, anona);19;856011.52
2013;açafrão;18;742462.60
2013;linho;14;611132.34
2013;vime;42;598150.78
2013;coentro;25;529745.06
2013;atemoia;4;528480.34
2013;agrião;27;494951.14
2013;cupuaçu;39;485048.14
2013;salsa;70;450582.89
2013;lichia (lechia);10;447063.54
2013;bucha vegetal;43;435485.95
2013;noz;3;431287.61
2013;jabuticaba;3;335923.82
2013;carambola;10;283497.92
2013;malva;25;245822.26
2013;amora;26;238120.64
2013;alcachofra;6;213837.65
2013;milheto;7;197868.07
2013;guariroba;6;175456.97
2013;lima;13;157400.93
2013;porongo (cuia,cabaça);12;153349.46
2013;cravo;21;151306.46
2013;ervilha;8;116827.19
2013;castanha-do-brasil;10;93161.70
2013;oliva (azeitona);1;92800.00
2013;gergelim;5;80989.63
2013;graviola;8;78312.94
2013;rabanete;3;77022.03
2013;juta;8;63122.17
2013;acelga;5;42761.39
2013;maxixe;4;34385.83
2013;espinafre;11;33111.41
2013;chicoria;7;30966.70
2013;centeio;3;21695.00
2013;nespera;1;16540.00
2013;mamona;2;11159.54
2013;almeirão;1;10615.35
2013;escarola;1;5814.00
2013;murici;1;2499.00
2013;agave (sisal);1;1883.40
2013;curauá;1;1590.87
2014;soja;186944;20406011443.18
2014;milho;181637;8140782915.52
2014;café;96685;4682094996.83
2014;cana-de-açucar;16422;3908969538.46
2014;trigo;52852;2540469636.46
2014;algodão;1039;2085183413.90
2014;arroz;15212;2085102829.39
2014;laranja;4653;949971515.33
2014;madeira;1514;892039185.77
2014;fumo;128631;511853304.56
2014;feijão;12365;491364845.48
2014;batata-inglesa;2122;462159016.15
2014;mandioca (aipim, macaxeira);19798;418306048.14
2014;tomate;5983;293464893.78
2014;uva;6942;286064530.56
2014;maçã;2087;229123366.83
2014;cebola;6351;198795682.44
2014;outras lavouras;1567;182353515.46
2014;banana;3667;146411879.89
2014;alho;1076;124593012.95
2014;abacaxi;3438;119937279.73
2014;aveia;1611;108356368.42
2014;seringueira;705;87787243.69
2014;flores;499;81201577.13
2014;amendoim;349;75763738.93
2014;cevada;1166;71924248.03
2014;cenoura;647;63459468.13
2014;manga;780;59302853.20
2014;morango;2212;52742537.23
2014;sorgo;482;44031109.23
2014;mamão;287;43296630.77
2014;melancia;1075;36148860.90
2014;pêssego;1217;34892798.45
2014;tangerina;1133;34180084.87
2014;alface;1699;34044492.24
2014;limão;836;30407194.94
2014;cacau;991;25370285.39
2014;inhame;1923;24766572.12
2014;pimentão;1388;22930200.38
2014;beterraba;768;22428642.81
2014;canola;542;20519712.95
2014;maracujá;1108;19209311.39
2014;cogumelo;155;19191452.65
2014;caqui;363;18423318.19
2014;abóbora-moranga;902;17442318.38
2014;mandioquinha (batata: baroa, salsa, aipo);680;17227265.36
2014;coco;309;15971005.28
2014;ameixa;573;15563650.80
2014;goiaba;416;15233590.49
2014;erva-mate;1058;15037419.60
2014;cará;315;13997023.54
2014;capim;141;13986549.72
2014;girassol;38;11863567.74
2014;pimenta-do-reino;384;11485363.06
2014;grama;63;10211238.86
2014;repolho;775;9711632.31
2014;melão;109;9246095.55
2014;quiabo;705;9001178.07
2014;couve-flor;572;8358918.98
2014;plantas ornamentais;132;7889073.02
2014;brócolos (brócolis);560;7747398.41
2014;chuchu;435;6953200.42
2014;batata-doce;570;6819119.58
2014;abacate;109;6506803.77
2014;alfafa;169;6332445.69
2014;caju;524;5960707.54
2014;figo;122;5857527.52
2014;berinjela;223;5671704.62
2014;pepino;522;5548678.99
2014;carnaúba;50;5255745.03
2014;crisântemo;48;3852593.98
2014;acerola;130;3623040.80
2014;dendê;60;3397086.86
2014;abobrinha;272;3088619.51
