cd_empreendimento;data_inicio;data_fim;finalidade;atividade;modalidade;produto;variedade;cesta;zoneamento;unidade_medida;unidade_medida_previsao;consorcio;cedula_mae;cd_tipo_cultura
12016720000052;1984-01-01;2024-06-30;custeio;agrícola;lavoura;soja;não se aplica;irrigadas;não zoneado;hectare;tonelada;não consorciado;0;3
12016720000013;2017-02-23;;custeio;agrícola;lavoura;soja;não se aplica;safra de verão (1ª safra);;hectare;tonelada;não consorciado;0;3
12016720000023;2017-02-23;2099-12-31;custeio;agrícola;lavoura;soja;não se aplica;safrinha (2ª safra);;hectare;tonelada;não consorciado;0;3
12016720000812;1984-01-01;;custeio;agrícola;lavoura;soja;não se aplica;safra de verão (1ª safra);não zoneado;hectare;tonelada;consorciado;0;3
12016720000051;2005-08-24;2023-06-30;custeio;agrícola;lavoura;soja;não se aplica;irrigadas;zoneado;hectare;tonelada;não consorciado;0;3
12016720000022;1984-01-01;2099-12-31;custeio;agrícola;lavoura;soja;não se aplica;safrinha (2ª safra);não zoneado;hectare;tonelada;não consorciado;0;3
12016720000012;1984-01-01;;custeio;agrícola;lavoura;soja;não se aplica;safra de verão (1ª safra);não zoneado;hectare;tonelada;não consorciado;0;3
12016720000011;2006-07-01;;custeio;agrícola;lavoura;soja;não se aplica;safra de verão (1ª safra);zoneado;hectare;tonelada;não consorciado;0;3
12016720000053;2017-03-14;2023-06-30;custeio;agrícola;lavoura;soja;não se aplica;irrigadas;;hectare;tonelada;não consorciado;0;3
12016720000021;2023-08-03;;custeio;agrícola;lavoura;soja;não se aplica;safrinha (2ª safra);zoneado;hectare;tonelada;não consorciado;0;3
12016720000823;2023-08-03;;custeio;agrícola;lavoura;soja;não se aplica;safrinha (2ª safra);;hectare;tonelada;consorciado;0;3
12016720000031;2023-08-03;;custeio;agrícola;lavoura;soja;não se aplica;safra de inverno (3ª safra);zoneado;hectare;tonelada;não consorciado;0;3
12016720000032;2023-08-03;;custeio;agrícola;lavoura;soja;não se aplica;safra de inverno (3ª safra);não zoneado;hectare;tonelada;não consorciado;0;3
12016720000033;2023-08-03;;custeio;agrícola;lavoura;soja;não se aplica;safra de inverno (3ª safra);;hectare;tonelada;não consorciado;0;3
12016720000813;2023-08-03;;custeio;agrícola;lavoura;soja;não se aplica;safra de verão (1ª safra);;hectare;tonelada;consorciado;0;3
12016720000822;2023-08-03;;custeio;agrícola;lavoura;soja;não se aplica;safrinha (2ª safra);não zoneado;hectare;tonelada;consorciado;0;3
12016720341011;2013-01-01;;custeio;agrícola;lavoura;soja;cultivo em sistemas integrados;safra de verão (1ª safra);zoneado;hectare;tonelada;não consorciado;0;3
